",""source"",""target"",""date"",""type"",""weight"",""date_index"""
"110,""Leek"",""Neumeyer"",""2006-09-06 00:00:00"",""email"",1,40"
"111,""Leek"",""Justice"",""2006-09-06 00:00:00"",""email"",1,40"
"112,""Leek"",""Sorby"",""2006-09-06 00:00:00"",""email"",1,40"
"113,""Guang"",""Leek"",""2006-10-23 00:00:00"",""email"",1,41"
"114,""Guang"",""Sorby"",""2006-10-23 00:00:00"",""email"",1,41"
"115,""Guang"",""Wiggans"",""2006-10-23 00:00:00"",""email"",1,41"
"116,""Choi"",""Leek"",""2006-10-26 00:00:00"",""email"",1,42"
"117,""Leek"",""Choi"",""2006-10-26 00:30:00"",""email"",1,43"
"118,""Leek"",""Maehata"",""2006-10-26 00:30:00"",""email"",1,43"
"119,""Jiang"",""Justice"",""2007-01-10 00:00:00"",""email"",1,44"
"120,""Jiang"",""Wiggans"",""2007-01-10 00:00:00"",""email"",1,44"
"121,""Kim"",""Jones"",""2007-02-26 00:00:00"",""email"",1,45"
"122,""Kim"",""Leek"",""2007-02-26 00:00:00"",""email"",1,45"
"123,""Jiang"",""Wiggans"",""2007-08-06 00:00:00"",""email"",1,46"
"124,""Jiang"",""Wiggans"",""2007-08-06 00:00:00"",""email"",1,46"
"125,""Jiang"",""Wiggans"",""2007-08-10 00:00:00"",""email"",1,47"
"126,""Wiggans"",""Jiang"",""2007-08-13 00:00:00"",""email"",1,48"
"127,""Wiggans"",""Jiang"",""2007-08-13 00:00:00"",""email"",1,48"
"128,""Wiggans"",""Jiang"",""2007-08-13 00:00:00"",""email"",1,48"
"129,""Jiang"",""Wiggans"",""2007-08-23 00:00:00"",""email"",1,49"
"130,""Park_C"",""Leek"",""2007-09-28 00:00:00"",""email"",1,50"
"131,""Jiang"",""Wiggans"",""2007-11-07 00:00:00"",""email"",1,51"
"132,""Jiang"",""Sorby"",""2007-11-07 00:00:00"",""email"",1,51"
"133,""Wiggans"",""Justice"",""2007-11-08 00:00:00"",""email"",1,52"
"134,""Jiang"",""Sorby"",""2007-12-05 00:00:00"",""email"",1,53"
"135,""Jiang"",""Justice"",""2007-12-05 00:00:00"",""email"",1,53"
"136,""Jiang"",""Leek"",""2007-12-05 00:00:00"",""email"",1,53"
"137,""Justice"",""Jiang"",""2007-12-06 00:00:00"",""email"",1,54"
"138,""Justice"",""Leek"",""2007-12-06 00:00:00"",""email"",1,54"
"139,""Jiang"",""Justice"",""2008-01-14 00:00:00"",""email"",1,55"
"140,""Jiang"",""Leek"",""2008-01-14 00:00:00"",""email"",1,55"
"141,""Jiang"",""Wiggans"",""2008-05-12 00:00:00"",""email"",1,56"
"142,""Jiang"",""Sorby"",""2008-07-22 00:00:00"",""email"",1,57"
"143,""Jiang"",""Justice"",""2008-07-22 00:00:00"",""email"",1,57"
"144,""Jiang"",""Leek"",""2008-07-22 00:00:00"",""email"",1,57"
"145,""Leek"",""Jiang"",""2008-07-22 00:30:00"",""email"",1,58"
"146,""Leek"",""Sorby"",""2008-07-22 00:30:00"",""email"",1,58"
"147,""Leek"",""Justice"",""2008-07-22 00:30:00"",""email"",1,58"
"148,""Jiang"",""Sorby"",""2008-07-22 01:00:00"",""email"",1,59"
"149,""Jiang"",""Justice"",""2008-07-22 01:00:00"",""email"",1,59"
"150,""Jiang"",""Leek"",""2008-07-22 01:00:00"",""email"",1,59"
"151,""Jiang"",""Wiggans"",""2008-08-26 00:00:00"",""email"",1,60"
"152,""Justice"",""Roberts"",""2008-09-04 00:00:00"",""email"",1,61"
"153,""Vasa"",""Sorby"",""2009-02-06 00:00:00"",""email"",1,62"
"154,""Sorby"",""Vasa"",""2009-02-06 00:30:00"",""email"",1,63"
"155,""Jiang"",""Sorby"",""2009-11-04 00:00:00"",""email"",1,64"
"156,""Jiang"",""Dawtry"",""2009-11-04 00:00:00"",""email"",1,64"
"157,""Jiang"",""Sorby"",""2009-11-30 00:00:00"",""email"",1,65"
"158,""Jiang"",""Justice"",""2009-11-30 00:00:00"",""email"",1,65"
"159,""Jiang"",""Leek"",""2009-11-30 00:00:00"",""email"",1,65"
"160,""Justice"",""Jiang"",""2009-12-01 00:00:00"",""email"",1,66"
"161,""Justice"",""Leek"",""2009-12-01 00:00:00"",""email"",1,66"
"162,""Jiang"",""Justice"",""2009-12-01 00:30:00"",""email"",1,67"
"163,""Jiang"",""Leek"",""2009-12-01 00:30:00"",""email"",1,67"
"164,""Jiang"",""Sorby"",""2009-12-01 00:30:00"",""email"",1,67"
"165,""Justice"",""Jiang"",""2009-12-02 00:00:00"",""email"",1,68"
"166,""Justice"",""Leek"",""2009-12-02 00:00:00"",""email"",1,68"
"167,""Justice"",""Sorby"",""2009-12-02 00:00:00"",""email"",1,68"
"168,""Jiang"",""Justice"",""2009-12-02 00:30:00"",""email"",1,69"
"169,""Jiang"",""Leek"",""2009-12-02 00:30:00"",""email"",1,69"
"170,""Jiang"",""Sorby"",""2009-12-02 00:30:00"",""email"",1,69"
"171,""Jiang"",""Justice"",""2009-12-02 00:30:00"",""email"",1,69"
"172,""Jiang"",""Sorby"",""2009-12-02 00:30:00"",""email"",1,69"
"173,""Leek"",""Park_C"",""2010-02-25 00:00:00"",""email"",1,70"
"174,""Leek"",""Justice"",""2010-02-25 00:00:00"",""email"",1,70"
"175,""Leek"",""Sorby"",""2010-02-25 00:00:00"",""email"",1,70"
"176,""Leek"",""Jiang"",""2010-05-20 00:00:00"",""email"",1,71"
"177,""Leek"",""Justice"",""2010-05-20 00:00:00"",""email"",1,71"
"178,""Leek"",""Sorby"",""2010-05-20 00:00:00"",""email"",1,71"
"179,""Leek"",""Jiang"",""2010-05-21 00:00:00"",""email"",1,72"
"180,""Jiang"",""Leek"",""2010-05-21 00:00:00"",""email"",1,72"
"181,""Leek"",""Jiang"",""2010-05-21 00:30:00"",""email"",1,73"
"182,""Leek"",""Justice"",""2010-05-21 00:30:00"",""email"",1,73"
"183,""Leek"",""Sorby"",""2010-05-21 00:30:00"",""email"",1,73"
"184,""Leek"",""Jiang"",""2010-05-27 00:30:00"",""email"",1,74"
"185,""Leek"",""Justice"",""2010-05-27 00:30:00"",""email"",1,74"
"186,""Leek"",""Sorby"",""2010-05-27 00:30:00"",""email"",1,74"
"187,""Jiang"",""Leek"",""2010-05-28 00:00:00"",""email"",1,75"
"188,""Jiang"",""Sorby"",""2010-05-28 00:00:00"",""email"",1,75"
"189,""Jiang"",""Justice"",""2010-05-28 00:00:00"",""email"",1,75"
"190,""Leek"",""Jiang"",""2010-08-06 00:00:00"",""email"",1,76"
"191,""Leek"",""Justice"",""2010-08-06 00:00:00"",""email"",1,76"
"192,""Leek"",""Sorby"",""2010-08-06 00:00:00"",""email"",1,76"
"193,""Jiang"",""Leek"",""2010-08-08 00:00:00"",""email"",1,77"
"194,""Jiang"",""Sorby"",""2010-08-08 00:00:00"",""email"",1,77"
"195,""Jiang"",""Justice"",""2010-08-08 00:00:00"",""email"",1,77"
"196,""Leek"",""Neumeyer"",""2010-09-09 00:00:00"",""email"",1,78"
"197,""Leek"",""Justice"",""2010-09-09 00:00:00"",""email"",1,78"
"198,""Jiang"",""Leek"",""2011-01-26 00:00:00"",""email"",1,79"
"199,""Jiang"",""Sorby"",""2011-01-26 00:00:00"",""email"",1,79"
"200,""Jiang"",""Justice"",""2011-01-26 00:00:00"",""email"",1,79"
"201,""Justice"",""Jiang"",""2011-01-26 00:30:00"",""email"",1,80"
"202,""Justice"",""Leek"",""2011-01-26 00:30:00"",""email"",1,80"
"203,""Justice"",""Sorby"",""2011-01-26 00:30:00"",""email"",1,80"
"204,""Jiang"",""Justice"",""2011-01-27 00:00:00"",""email"",1,81"
"205,""Jiang"",""Leek"",""2011-01-27 00:00:00"",""email"",1,81"
"206,""Jiang"",""Sorby"",""2011-01-27 00:00:00"",""email"",1,81"
